Customer ID,avg_order_value,time_as_customer,avg_price_item,subscriber_newsletter,uses_coupons,customer_group,affiliation
65.0,104.88,2930,52.44,1,1,Consumer,
68.0,200.0,203,20.0,0,0,Medical 40,Medical - Chiropractor
69.0,240.5,2920,21.863636363636363,1,1,Medical 40,Medical - Chiropractor
71.0,50.0,824,10.0,0,0,Medical 40,Medical - Chiropractor
72.0,196.65,1557,21.85,0,1,Medical 40,Medical - Chiropractor
75.0,660.24,2750,41.265,0,1,Medical 50,Medical - Chiropractor
77.0,40.0,1873,20.0,1,0,Medical 40,Medical - Chiropractor
78.0,563.55,2968,563.55,1,1,Medical 50,Medical - Chiropractor
80.0,43.45,527,21.725,1,1,Consumer,
81.0,86.9,2524,21.725,1,0,Medical 40,Medical - Chiropractor
82.0,40.0,2823,20.0,1,0,Medical 40,Medical - Chiropractor
86.0,74.0,2977,18.5,1,1,Consumer,Consumer - Fitness/CrossFit
88.0,40.0,662,20.0,1,1,Consumer,
89.0,202.9,612,50.725,1,1,Consumer,
92.0,348.0,2747,43.5,0,1,Medical 50,Medical - Chiropractor
93.0,160.25,2206,20.03125,1,1,Medical 40,Medical - Chiropractor
95.0,72.0,1905,4.235294117647059,0,0,Retail 40 - Nontaxable,Retailer - Bike Shop
96.0,100.0,1149,20.0,1,1,Medical 50,Medical - Chiropractor/HealthSource
97.0,40.0,427,20.0,1,0,Consumer,Medical - Chiropractor/HealthSource
101.0,336.0,2792,18.666666666666668,1,1,Medical 50,Medical - Chiropractor
103.0,400.0,2673,20.0,1,1,Medical 40,Medical - Chiropractor
106.0,200.0,778,20.0,0,1,Medical 40,Medical - Chiropractor
107.0,510.0,825,31.875,0,1,Medical 40,Medical - Chiropractor
108.0,1050.0,2988,30.88235294117647,0,1,Medical 40,Medical - Physical Therapist
110.0,130.0,1206,26.0,0,0,Medical 40,Medical - Chiropractor
111.0,136.0,629,9.714285714285714,0,0,Consumer,Consumer - General Sports
112.0,0.0,1582,0.0,0,0,Friends or Sponsored Athletes,Consumer - General Sports
115.0,249.95,479,83.31666666666666,1,1,Medical 40,Medical - Chiropractor
117.0,230.0,2199,32.857142857142854,0,1,Medical 50,Medical - Chiropractor
120.0,139.8,1419,5.5920000000000005,1,1,Medical 50,Medical - Chiropractor/HealthSource
121.0,200.0,658,200.0,0,1,Medical 50,Medical - Chiropractor/HealthSource
123.0,36.0,960,18.0,0,1,Consumer,Consumer - General Sports
124.0,615.0,2956,19.838709677419356,1,1,Medical 40,Medical - Massage Therapist
125.0,240.0,2672,20.0,1,1,Medical 40,Medical - Chiropractor
126.0,520.0,944,520.0,1,1,Medical 40,Medical - Chiropractor
128.0,350.14,2287,26.933846153846154,1,1,Consumer,Medical - Chiropractor
130.0,100.0,443,20.0,1,1,Medical 40,Medical - Chiropractor
133.0,400.0,389,20.0,1,1,Medical 40,Medical - Chiropractor
135.0,160.0,2247,22.857142857142858,0,1,Medical 50,Medical - Chiropractor/HealthSource
137.0,0.0,2632,0.0,1,0,Medical 40,Medical - Chiropractor
138.0,1000.0,2621,20.0,0,1,Retail 50 - Nontaxable,Retailer - Bike Shop
139.0,720.0,2336,72.0,0,0,Medical 50,Medical - Chiropractor
142.0,290.0,2945,29.0,1,1,Medical 50,Medical - Chiropractor
145.0,235.0,2968,29.375,1,1,Medical 50,Medical - Chiropractor
146.0,120.0,2931,20.0,0,1,Medical 40,Medical - Chiropractor
149.0,84.01,271,12.001428571428573,1,1,Medical 40,Medical - Chiropractor
154.0,227.59,2900,25.287777777777777,0,0,Consumer,Consumer - General Sports
156.0,20.0,2886,20.0,1,0,Consumer, -------
157.0,521.0,2606,260.5,1,1,Medical 50,Medical - Chiropractor
163.0,320.0,1204,53.333333333333336,1,1,Medical 40,Medical - Chiropractor
164.0,240.0,2724,20.0,0,1,Medical 40,Medical - Chiropractor
166.0,43.7,921,21.85,0,1,Medical 40,Medical - Chiropractor
167.0,120.0,2698,120.0,1,1,Medical 40,Medical - Chiropractor
168.0,120.0,2967,120.0,0,1,Consumer,
171.0,174.8,1841,21.85,1,1,Consumer,Retail Fitness - CrossFit Box
172.0,199.0,2786,199.0,1,0,Medical 50,Medical - Chiropractor
174.0,120.0,1012,20.0,1,1,Retail 40 - Nontaxable,Retail Fitness - CrossFit Box
175.0,305.58,2560,17.975294117647056,1,1,Medical 40,Medical - Chiropractor
177.0,20.0,471,20.0,1,1,Consumer,
178.0,20.0,3008,20.0,1,0,Retail 40 - Taxable,Retail Fitness - CrossFit Box
186.0,40.0,2906,20.0,1,1,Medical 40,Medical - Chiropractor
187.0,215.0,617,35.833333333333336,1,1,Medical 40,Medical - Chiropractor
188.0,117.95,2494,19.658333333333335,1,1,Medical 40,Medical - Chiropractor
190.0,204.91,2980,20.491,1,1,Medical 50,Medical - Chiropractor
191.0,240.0,690,34.285714285714285,1,1,Medical 40,Medical - Chiropractor
194.0,360.49,2126,60.08166666666667,1,1,Medical 40,Medical - Chiropractor
196.0,200.0,2379,100.0,1,1,Retail 50 - Nontaxable,Retail Fitness - CrossFit Box
197.0,38.0,678,19.0,1,0,Consumer,Retail Fitness - CrossFit Box
198.0,40.0,906,20.0,1,0,Consumer,Retail Fitness - CrossFit Box
199.0,40.0,2967,20.0,0,0,Medical 40,Medical - Chiropractor
202.0,131.1,1132,131.1,1,1,Medical 40,Consumer - General Sports
203.0,120.0,1246,20.0,1,1,Consumer,
204.0,480.0,227,20.0,1,1,Retail 40 - Taxable,Retailer - Specialty Run
214.0,240.0,1567,20.0,1,1,Consumer,Retailer - Specialty Run
218.0,40.0,203,20.0,1,0,Consumer,Retailer - Specialty Run
220.0,694.85,579,23.16166666666667,1,1,Medical 40,Medical - Chiropractor
222.0,240.0,2482,120.0,1,1,Medical 50,Medical - Chiropractor
225.0,199.0,1573,199.0,0,0,Medical 50,Medical - Chiropractor/HealthSource
227.0,380.0,2178,19.0,0,1,Medical 50,Medical - Chiropractor
230.0,520.0,2000,520.0,1,1,Medical 40,Medical - Chiropractor
232.0,21.75,1702,21.75,1,0,Consumer,
233.0,120.0,2911,20.0,0,1,Medical 40,Medical - Chiropractor
235.0,62.86,891,20.953333333333333,1,1,Consumer,
238.0,109.25,2681,21.85,1,1,Medical 50,Medical - Chiropractor
239.0,480.0,2660,160.0,1,1,Medical 40,Medical - Physical Therapist
240.0,380.0,2921,21.11111111111111,1,1,Medical 50,Medical - Chiropractor
244.0,240.0,2900,20.0,0,1,Medical 40,Medical - Chiropractor
247.0,200.0,2696,20.0,1,1,Medical 40,Medical - Chiropractor
249.0,546.0,2955,39.0,1,1,Medical 40,Medical - Chiropractor
253.0,218.5,2238,21.85,0,1,Medical 40,Medical - Chiropractor
254.0,65.25,1307,21.75,0,1,Medical 40,Medical - Chiropractor
255.0,240.0,2163,120.0,1,1,Medical 50,Medical - Chiropractor/HealthSource
258.0,145.0,2655,16.11111111111111,1,1,Medical 40,Medical - Chiropractor
261.0,720.0,1412,20.0,0,1,Medical 40,Medical - Chiropractor
263.0,118.02,1488,19.669999999999998,0,1,Medical 40,Medical - Chiropractor
267.0,20.0,2509,20.0,1,1,Consumer,Consumer - General Sports
268.0,40.12,200,20.06,1,0,Consumer,Consumer - General Sports
271.0,40.0,1512,20.0,1,0,Consumer,Consumer - General Sports
274.0,199.0,1780,199.0,1,0,Medical 50,Medical - Chiropractor/HealthSource
275.0,40.0,515,20.0,0,1,Retail 40 - Nontaxable,Retail Fitness - CrossFit Box
276.0,100.0,2190,20.0,1,1,Medical 50,Retail Fitness - CrossFit Box
277.0,1305.0,2562,21.75,0,1,Medical 40,Medical - Chiropractor
278.0,370.36,1936,46.295,0,1,Medical 50,Medical - Chiropractor
279.0,326.0,2617,25.076923076923077,1,1,Medical 50,Medical - Chiropractor
280.0,460.0,2957,30.666666666666668,1,1,Medical 50,Medical - Chiropractor
282.0,80.0,1123,20.0,0,1,Consumer,
283.0,18.0,2515,18.0,1,0,Medical 40,Medical - Chiropractor
285.0,60.0,928,30.0,1,1,Consumer,
286.0,60.0,414,30.0,0,1,Consumer,
288.0,60.0,958,30.0,1,1,Medical 40,Medical - Chiropractor
289.0,100.0,1560,20.0,1,1,Retail 50 - Nontaxable,Retailer - Specialty Run
290.0,110.0,2838,110.0,0,1,Medical 40,Medical - Chiropractor
293.0,720.0,1927,240.0,0,1,Medical 40,Medical - Chiropractor
296.0,113.0,576,18.833333333333332,1,1,Consumer,
297.0,300.0,1765,60.0,1,1,Consumer,
298.0,240.0,590,120.0,1,1,Consumer,
299.0,100.0,2950,20.0,1,1,Medical 40,Medical - Physical Therapist
301.0,600.0,1716,50.0,1,1,Medical 40,Medical - Chiropractor
302.0,124.56,2314,20.76,0,1,Medical 50,Medical - Chiropractor
310.0,480.0,418,20.0,1,1,Medical 50,Medical - Chiropractor/HealthSource
311.0,109.25,3023,109.25,1,1,Medical 50,Retail Fitness - Independent Location
312.0,100.0,2247,20.0,0,1,Retail 40 - Taxable,Medical - Chiropractor
318.0,199.0,793,199.0,1,0,Medical 50,Medical - Chiropractor/HealthSource
320.0,120.0,336,20.0,0,1,Medical 40,Medical - Chiropractor
322.0,40.0,1535,20.0,1,1,Consumer,
325.0,54.0,2800,18.0,1,1,Consumer,Retail Fitness - CrossFit Box
326.0,69.95,1378,23.316666666666666,0,0,Medical 40,Medical - Chiropractor
329.0,200.0,2932,20.0,0,0,Medical 50,Medical - Chiropractor
331.0,261.0,2917,130.5,1,0,Medical 40,Medical - Chiropractor
335.0,589.95,2688,147.4875,1,0,Consumer,Medical - Chiropractor
338.0,400.0,1842,20.0,1,1,Medical 40,Medical - Chiropractor
339.0,360.0,1496,45.0,1,1,Consumer,
341.0,120.0,818,20.0,0,1,Medical 40,Medical - Chiropractor
347.0,240.0,2561,120.0,0,1,Medical 40,Medical - Chiropractor
348.0,168.0,2700,24.0,1,0,Medical 40,Medical - Chiropractor
349.0,229.98,213,13.528235294117646,1,1,Medical 40,Medical - Chiropractor
351.0,20.0,959,20.0,1,1,Consumer,
353.0,100.0,1325,20.0,1,1,Consumer,
355.0,20.0,1417,20.0,1,0,Consumer,
357.0,314.65,2924,19.665625,1,1,Medical 50,Medical - Chiropractor
358.0,120.0,2700,20.0,1,1,Medical 40,Medical - Chiropractor
359.0,140.0,803,20.0,0,0,Medical 40,Medical - Chiropractor
360.0,120.0,2604,120.0,1,1,Consumer,
366.0,150.0,1895,75.0,1,0,Medical 40,Medical - Chiropractor
371.0,18.0,2252,18.0,1,0,Consumer,
374.0,60.0,1662,60.0,1,1,Consumer,
376.0,0.0,504,0.0,0,0,Medical 40,Medical - Chiropractor
377.0,218.51,727,16.808461538461536,0,1,Medical 40,Medical - Chiropractor
378.0,100.0,662,100.0,1,1,Medical 40,Medical - Chiropractor
381.0,0.0,3018,0.0,0,0,Retail - Major Accounts,Medical - Chiropractor
382.0,360.0,2930,20.0,1,1,Retail 50 - Nontaxable,Retailer - Specialty Run
389.0,20.0,285,20.0,0,0,Consumer,Retailer - Specialty Run
391.0,100.0,2138,100.0,1,1,Medical 40,Medical - Chiropractor
392.0,315.0,2930,9.545454545454545,1,0,Retail 50 - Taxable,Medical - Chiropractor
395.0,65.55,449,21.849999999999998,0,0,Consumer,
396.0,120.0,1175,20.0,1,1,Medical 40,Medical - Chiropractor
400.0,120.0,2710,120.0,1,0,Medical 40,Medical - Chiropractor
401.0,360.0,2701,120.0,0,1,Medical 50,Medical - Chiropractor
402.0,76.13,2959,38.065,1,0,Consumer,Medical - Chiropractor/HealthSource
404.0,199.0,2879,199.0,1,0,Medical 50,Medical - Chiropractor/HealthSource
405.0,40.0,627,20.0,0,0,Consumer,Medical - Chiropractor/HealthSource
406.0,280.0,376,93.33333333333333,0,1,Medical 40,Medical - Chiropractor
407.0,108.0,281,18.0,0,1,Medical 40,
408.0,720.0,2867,120.0,1,0,Medical 50,Medical - Chiropractor
411.0,433.49,2855,433.49,0,1,Medical 50,Medical - Chiropractor
413.0,220.0,594,220.0,1,1,Consumer,
417.0,720.0,2758,34.285714285714285,1,1,Medical 50,Medical - Chiropractor
424.0,65.55,276,21.849999999999998,0,1,Consumer,
425.0,340.0,2547,28.333333333333332,1,1,Medical 50,Medical - Chiropractor
426.0,240.0,2893,34.285714285714285,0,1,Medical 50,Medical - Chiropractor
429.0,0.0,2192,0.0,0,0,Consumer,
434.0,43.7,2911,43.7,1,1,Consumer,
442.0,80.0,2482,20.0,0,1,Medical 40,Medical - Chiropractor
447.0,58.24,605,19.413333333333334,1,0,Consumer,
450.0,440.0,1560,110.0,0,1,Medical 40,Medical - Chiropractor
451.0,640.0,867,58.18181818181818,1,1,Medical 40,Medical - Chiropractor
452.0,109.25,2928,109.25,1,1,Medical 40,Medical - Chiropractor
454.0,240.0,686,20.0,1,1,Medical 50,Medical - Chiropractor/HealthSource
456.0,115.9,737,28.975,1,1,Medical 50,Medical - Chiropractor/HealthSource
459.0,590.1,2869,19.67,1,1,Medical 50,Medical - Chiropractor
460.0,429.9,347,61.41428571428571,0,1,Medical 40,Medical - Chiropractor
461.0,20.0,2519,20.0,1,1,Medical 40,Medical - Chiropractor
464.0,38.0,1639,19.0,0,0,Consumer,
465.0,120.0,788,20.0,0,1,Medical 40,Medical - Chiropractor
466.0,40.0,2826,20.0,1,0,Medical 40,Medical - Chiropractor
476.0,196.65,1179,19.665,1,1,Medical 40,Medical - Chiropractor
480.0,520.0,218,520.0,0,1,Medical 50,Medical - Chiropractor/HealthSource
481.0,125.64,2168,20.94,1,1,Consumer,Medical - Chiropractor
483.0,119.85,401,10.895454545454545,0,0,Consumer,
489.0,200.0,2833,100.0,0,1,Medical 40,Medical - Chiropractor
490.0,40.0,327,20.0,0,0,Consumer,
491.0,36.0,431,18.0,0,0,Consumer,
495.0,40.0,436,20.0,0,1,Consumer,
497.0,399.99,706,399.99,0,1,Medical 40,Medical - Chiropractor
500.0,240.0,173,120.0,0,1,Consumer,
501.0,30.0,914,15.0,1,0,Consumer,
503.0,196.64,2906,19.663999999999998,1,1,Medical 40,Medical - Chiropractor
507.0,200.0,2563,100.0,1,1,Consumer,Medical - Massage Therapist
508.0,300.0,108,15.0,0,1,Retail 40 - Taxable,Retailer - General/Other
509.0,200.0,203,20.0,0,1,Medical 40,Medical - Chiropractor
510.0,480.7,1564,120.175,1,1,Medical 40,Medical - Chiropractor
512.0,100.0,1103,20.0,0,0,Consumer,
514.0,238.3,2236,29.7875,0,0,Consumer,
516.0,45.0,532,15.0,1,0,Medical 40,Medical - Athletic Trainer (Certified)
520.0,18.0,2531,18.0,0,1,Consumer,Medical - Athletic Trainer (Certified)
522.0,393.3,1001,131.1,0,1,Medical 40,Medical - Chiropractor
523.0,634.06,3002,105.67666666666666,1,1,Medical 50,Medical - Chiropractor
524.0,180.0,497,18.0,0,1,Medical 40,Medical - Chiropractor
525.0,251.28,2899,27.92,0,1,Medical 50 - Non Taxable,Medical - Chiropractor
531.0,40.0,1547,20.0,1,0,Retail 40 - Nontaxable,Retailer - General/Other
533.0,200.0,703,20.0,0,1,Consumer,
534.0,40.0,2375,20.0,1,1,Consumer,
536.0,248.5,209,4.872549019607843,0,0,Medical 40,Medical - Chiropractor
537.0,40.0,506,20.0,0,0,Consumer,
538.0,604.91,1700,50.409166666666664,0,1,Medical 50,Medical - Chiropractor
541.0,100.0,2962,100.0,1,1,Medical 40,Medical - Chiropractor
542.0,509.96,2258,84.99333333333333,0,1,Medical 40,Medical - Chiropractor
543.0,58.0,1065,19.333333333333332,0,0,Media,Medical - Chiropractor
547.0,21.75,2810,21.75,1,0,Consumer,
549.0,524.0,2154,5.695652173913044,0,0,Medical 50,Medical - Chiropractor
550.0,109.25,2500,109.25,0,1,Medical 50,Medical - Chiropractor
551.0,58.0,153,29.0,0,0,Consumer,
552.0,36.0,2619,18.0,0,1,Consumer,
553.0,62.86,909,20.953333333333333,0,1,Consumer,
555.0,80.0,617,20.0,0,0,Consumer,
559.0,320.0,2317,20.0,0,1,Medical 50,Medical - Chiropractor
562.0,35.89,2020,35.89,0,0,Medical 50,Medical - Chiropractor
565.0,340.0,2881,85.0,1,1,Medical 40,Medical - Chiropractor
566.0,60.0,2692,20.0,1,1,Medical 50,Consumer - General Sports
570.0,54.0,850,18.0,0,1,Consumer,
572.0,100.0,1409,20.0,0,1,Consumer,
573.0,0.0,2254,0.0,1,0,Medical 40,Medical - Chiropractor
579.0,200.0,1310,100.0,0,1,Consumer,Retailer - Specialty Run
580.0,34.95,2852,17.475,0,0,Consumer,Retailer - Specialty Run
582.0,58.0,1368,19.333333333333332,1,1,Consumer,Retailer - Specialty Run
585.0,65.5,2495,21.833333333333332,1,0,Medical 40,Medical - Chiropractor
586.0,300.0,2921,15.0,1,1,Medical 50,Medical - Chiropractor
594.0,238.0,2763,39.666666666666664,1,1,Medical 40,Medical - Chiropractor
607.0,80.0,783,26.666666666666668,1,1,Consumer,
611.0,87.4,256,21.85,0,1,Consumer,
612.0,50.0,2912,25.0,1,1,Medical 50,Medical - Chiropractor
613.0,18.0,720,18.0,0,1,Consumer,
614.0,117.99,2390,19.665,1,1,Medical 40,Medical - Chiropractor
616.0,250.0,2055,250.0,0,1,Consumer,
618.0,426.02,931,142.00666666666666,0,1,Consumer,
621.0,73.12,2901,18.28,1,0,Medical 40,Medical - Chiropractor
622.0,163.82,2872,81.91,1,1,Medical 50,Medical - Chiropractor
623.0,1032.0,2407,19.846153846153847,0,1,Retail 50 - Nontaxable,Retailer - Bike Shop
625.0,120.0,1703,120.0,1,1,Retail 40 - Nontaxable,Retailer - Bike Shop
626.0,120.0,2863,120.0,1,1,Medical 40,Medical - Chiropractor
638.0,480.0,2894,120.0,0,0,Medical 40,Medical - Chiropractor
639.0,80.0,783,20.0,1,1,Consumer,
642.0,40.0,2546,20.0,1,1,Consumer,Medical - Chiropractor
646.0,69.95,616,23.316666666666666,1,0,Consumer,
650.0,72.0,1854,12.0,0,1,Medical 40,Medical - Chiropractor
652.0,120.0,1378,120.0,1,1,Medical 40,Medical - Chiropractor
654.0,200.0,2613,100.0,1,1,Medical 40,Medical - Chiropractor
661.0,90.0,1135,9.0,0,0,Medical 40,Medical - Chiropractor
662.0,25.0,2258,25.0,1,0,Medical 40,Medical - Chiropractor
666.0,437.01,2593,87.402,0,1,Retail 50 - Taxable,Retail Fitness - Independent Location
668.0,320.0,2551,29.09090909090909,0,1,Medical 50,Medical - Chiropractor/HealthSource
670.0,36.0,485,18.0,0,1,Consumer,
676.0,0.0,2076,0.0,1,0,Consumer, -------
677.0,420.01,2040,21.0005,0,1,Medical 40,Medical - Chiropractor
682.0,456.01,2895,24.00052631578947,1,1,Medical 40,Medical - Chiropractor
683.0,240.0,2822,20.0,1,1,Medical 50,Medical - Chiropractor
686.0,315.0,2668,31.5,1,1,Medical 50,Medical - Chiropractor
691.0,449.95,2833,74.99166666666666,1,1,Medical 40,Medical - Chiropractor
692.0,56.0,2491,18.666666666666668,1,1,Consumer,Retail Fitness - Personal Trainer
694.0,60.0,1438,20.0,0,1,Retail 40 - Nontaxable,Retailer - Specialty Run
695.0,129.05,1690,21.508333333333336,0,1,Medical 40,Medical - Chiropractor
704.0,40.0,121,20.0,1,0,Medical 40,Medical - Chiropractor
708.0,319.04,1290,53.17333333333334,1,1,Medical 40,Medical - Chiropractor
711.0,520.0,402,520.0,0,1,Medical 40,Medical - Chiropractor
712.0,43.7,2634,21.85,1,0,Consumer,
715.0,393.3,1813,131.1,0,1,Medical 40,Medical - Chiropractor
716.0,40.0,1234,20.0,1,1,Consumer,
717.0,0.0,2526,0.0,0,0,Consumer,Consumer - General Sports
720.0,80.0,74,20.0,0,0,Consumer,
721.0,120.0,2649,20.0,1,1,Consumer,
723.0,218.5,1671,109.25,0,1,Medical 40,Medical - Chiropractor
726.0,218.76,756,21.875999999999998,0,1,Medical 40,Medical - Chiropractor
727.0,630.95,245,28.67954545454546,0,1,Medical 40,Medical - Chiropractor
729.0,0.0,1357,0.0,0,0,Medical 40,Medical - Chiropractor
734.0,86.68,1211,43.34,1,0,Consumer,
736.0,104.85,895,17.474999999999998,0,1,Consumer,
737.0,20.0,2417,20.0,1,1,Consumer,
738.0,40.0,2565,20.0,0,1,Consumer,
740.0,35.0,269,17.5,0,0,Consumer,
745.0,220.0,2872,55.0,0,1,Consumer,
750.0,640.0,770,160.0,1,1,Medical 40,Medical - Chiropractor
754.0,131.1,285,21.849999999999998,0,1,Medical 40,Medical - Chiropractor
759.0,100.12,2713,25.03,1,1,Medical 40,Medical - Chiropractor
760.0,99.5,1359,1.99,1,0,Medical 40,Medical - Chiropractor
765.0,20.0,244,20.0,0,0,Consumer,
767.0,185.0,571,61.666666666666664,1,0,Consumer,
768.0,259.95,2711,86.64999999999999,1,1,Medical 40,Medical - Chiropractor
770.0,330.0,2935,165.0,1,1,Medical 40,Medical - Chiropractor
775.0,260.0,2741,20.0,1,1,Medical 40,Medical - Chiropractor
777.0,400.0,2869,20.0,0,1,Retail 50 - Taxable,Retailer - Specialty Run
782.0,679.87,2833,26.148846153846154,0,1,Medical 50,Medical - Chiropractor
786.0,359.6,1278,25.685714285714287,0,1,Medical 40,Medical - Chiropractor
787.0,20.0,2361,20.0,0,0,Consumer,
788.0,60.0,1641,6.0,0,0,Medical 40,Medical - Chiropractor
789.0,174.8,2859,21.85,1,1,Medical 50,Medical - Physical Therapist
792.0,30.0,1858,15.0,1,0,Consumer,
795.0,140.0,2568,20.0,0,1,Medical 50,Medical - Chiropractor
796.0,72.0,2155,18.0,0,0,Consumer,
798.0,40.0,387,20.0,0,1,Consumer,
799.0,34.95,1142,17.475,1,0,Consumer,
800.0,200.0,249,100.0,0,1,Medical 40,Medical - Chiropractor
804.0,20.0,2463,20.0,0,0,Consumer,
813.0,600.0,2924,200.0,0,1,Medical 50,Medical - Chiropractor
818.0,48.0,1495,48.0,1,0,Retail 40 - Nontaxable,Retailer - Specialty Run
821.0,60.0,2678,20.0,1,0,Medical 40,Medical - Chiropractor
823.0,340.0,2417,85.0,0,1,Medical 40,Medical - Chiropractor
825.0,0.0,2140,0.0,0,0,Consumer,
827.0,36.99,357,12.33,0,0,Consumer,
830.0,43.7,1413,43.7,1,1,Consumer,
833.0,305.79,1412,30.579,1,1,Medical 40,Medical - Chiropractor
837.0,520.0,2118,520.0,0,1,Medical 50,Retailer - General/Other
839.0,255.0,1173,17.0,1,1,Medical 40,Medical - Chiropractor
844.0,48.0,2857,48.0,1,0,Medical 40,Medical - Chiropractor
846.0,131.1,2751,21.849999999999998,0,1,Medical 50,Medical - Chiropractor
847.0,40.0,567,20.0,0,1,Consumer,
849.0,50.0,1625,50.0,0,0,Consumer,Retailer - Bike Shop
850.0,40.0,1077,20.0,0,0,Consumer,Retailer - Bike Shop
851.0,140.0,2849,70.0,1,1,Medical 40,Medical - Chiropractor
852.0,60.0,145,30.0,0,0,Consumer,
853.0,280.0,1409,93.33333333333333,0,0,Consumer,
854.0,180.0,959,36.0,0,1,Medical 40,Medical - Chiropractor
856.0,220.0,2023,110.0,0,1,Medical 40,Medical - Chiropractor
857.0,40.0,381,40.0,0,1,Consumer,
866.0,59.9,217,29.95,0,0,Consumer,Medical - Federal Government
871.0,120.0,399,120.0,0,1,Medical 40,Medical - Chiropractor
872.0,270.0,1243,24.545454545454547,1,1,Consumer,
874.0,199.0,2863,199.0,1,0,Medical 50,Medical - Chiropractor/HealthSource
880.0,100.0,2757,100.0,1,1,Medical 50,Medical - Chiropractor
888.0,216.24,2669,36.04,1,1,Medical 50,Medical - Chiropractor
889.0,120.0,506,120.0,1,1,Medical 40,Medical - Chiropractor
891.0,190.0,2682,19.0,1,1,Medical 40,Medical - Chiropractor
893.0,88.0,2779,44.0,0,0,Medical 50,Medical - Chiropractor
894.0,200.0,795,22.22222222222222,0,1,Medical 40,Medical - Chiropractor
898.0,200.0,1402,20.0,0,1,Medical 50,Medical - Chiropractor/HealthSource
899.0,52.95,672,17.650000000000002,1,1,Consumer,Consumer - General Sports
906.0,20.0,2882,20.0,1,1,Medical 50,Medical - Chiropractor
907.0,60.0,191,20.0,0,1,Consumer,
908.0,45.0,735,15.0,1,1,Consumer,
912.0,48.0,223,48.0,0,0,Consumer,
913.0,700.0,2735,100.0,1,1,Medical 50,Medical - Chiropractor
921.0,0.0,1706,0.0,0,0,Consumer,
925.0,72.9,603,24.3,1,0,Consumer,
927.0,110.0,622,27.5,0,1,Medical 40,Medical - Chiropractor
932.0,334.0,1382,19.647058823529413,0,1,Consumer,Consumer - General Sports
933.0,110.93,2539,36.97666666666667,1,1,Consumer,Consumer - General Sports
934.0,120.0,2702,20.0,1,1,Medical 50,Medical - Chiropractor
936.0,60.0,1393,20.0,0,1,Consumer,
940.0,100.0,603,50.0,0,0,Medical 40,Medical - Chiropractor
942.0,131.1,2907,21.849999999999998,1,1,Medical 50,Medical - Chiropractor/HealthSource
948.0,200.0,1508,40.0,1,1,Medical 40,Medical - Chiropractor
949.0,199.0,364,199.0,0,0,Medical 40,Medical - Chiropractor
950.0,180.02,1927,30.003333333333334,1,1,Medical 50,Medical - Chiropractor/HealthSource
951.0,190.0,1278,12.666666666666666,0,0,Medical 40,Medical - Chiropractor
953.0,659.95,2546,59.99545454545455,1,0,Medical 40,Medical - Chiropractor
955.0,120.0,1302,120.0,0,1,Medical 40,Medical - Chiropractor
958.0,40.0,741,20.0,0,1,Consumer,
960.0,480.0,1923,20.0,0,1,Medical 50,Medical - Chiropractor/HealthSource
962.0,120.0,85,20.0,0,1,Medical 40,Medical - Chiropractor
963.0,70.0,2830,35.0,1,0,Consumer,
964.0,100.0,639,20.0,1,1,Medical 40,Medical - Chiropractor
965.0,80.0,2787,20.0,0,0,Medical 40,Medical - Chiropractor
